last_name,first_name,Title,State,district,years_served,link
Abraham,Ralph,Representative,Louisiana,5th,2015-2018,https://www.govtrack.us/congress/members/ralph_abraham/412630
Adams,Alma,Representative,North Carolina,12th,2014-2018,https://www.govtrack.us/congress/members/alma_adams/412607
Aderholt,Robert,Representative,Alabama,4th,1997-2018,https://www.govtrack.us/congress/members/robert_aderholt/400004
Aguilar,Pete,Representative,California,31st,2015-2018,https://www.govtrack.us/congress/members/pete_aguilar/412615
Alexander,Lamar,Senator,Tennessee,0,2003-2020,https://www.govtrack.us/congress/members/lamar_alexander/300002
Allen,Rick,Representative,Georgia,12th,2015-2018,https://www.govtrack.us/congress/members/rick_allen/412625
Amash,Justin,Representative,Michigan,3rd,2011-2018,https://www.govtrack.us/congress/members/justin_amash/412438
Amata,Aumua,Senator,American Samoa,0,2015-2018,https://www.govtrack.us/congress/members/aumua_amata/412664
Amodei,Mark,Representative,Nevada,2nd,2011-2018,https://www.govtrack.us/congress/members/mark_amodei/412500
Arrington,Jodey,Representative,Texas,19th,2017-2018,https://www.govtrack.us/congress/members/jodey_arrington/412726
Babin,Brian,Representative,Texas,36th,2015-2018,https://www.govtrack.us/congress/members/brian_babin/412655
Bacon,Don,Representative,Nebraska,2nd,2017-2018,https://www.govtrack.us/congress/members/don_bacon/412713
Baldwin,Tammy,Senator,Wisconsin,0,2013-2018,https://www.govtrack.us/congress/members/tammy_baldwin/400013
Banks,Jim,Representative,Indiana,3rd,2017-2018,https://www.govtrack.us/congress/members/jim_banks/412702
Barletta,Lou,Representative,Pennsylvania,11th,2011-2018,https://www.govtrack.us/congress/members/lou_barletta/412469
Barr,Garland “Andy”,Representative,Kentucky,6th,2013-2018,https://www.govtrack.us/congress/members/garland_barr/412541
Barragán,Nanette,Representative,California,44th,2017-2018,https://www.govtrack.us/congress/members/nanette_barragan/412687
Barrasso,John,Senator,Wyoming,0,2007-2018,https://www.govtrack.us/congress/members/john_barrasso/412251
Barton,Joe,Representative,Texas,6th,1985-2018,https://www.govtrack.us/congress/members/joe_barton/400018
Bass,Karen,Representative,California,37th,2013-2018,https://www.govtrack.us/congress/members/karen_bass/412404
Beatty,Joyce,Representative,Ohio,3rd,2013-2018,https://www.govtrack.us/congress/members/joyce_beatty/412565
Bennet,Michael,Senator,Colorado,0,2009-2022,https://www.govtrack.us/congress/members/michael_bennet/412330
Bera,Ami,Representative,California,7th,2013-2018,https://www.govtrack.us/congress/members/ami_bera/412512
Bergman,Jack,Representative,Michigan,1st,2017-2018,https://www.govtrack.us/congress/members/jack_bergman/412709
